"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","EIA","EAA",10000,6.25,6.06695445377778,6.22131223919371,"0.32",0.632427195827866,0.795196437454678,"0.034",0.167351851851852,"0.44"
"2","cti_sd","EIA","EAA",10000,27.7,2.67696332485185,2.34262404296452,"0.0023",0.565690944970249,0.563827971872328,"0.97",0.285962962962963,"0.026"
"3","elev_av","EIA","EAA",10000,69.5,403.540889037037,434.74394647347,"8e-04",28.0692507295264,46.4990089506546,"9e-04",0.427351851851852,"0.00012"
"4","elev_sd","EIA","EAA",10000,0,13.1635455732593,14.4895614186073,"0.39",5.70745723631666,7.94258461880879,"0.097",0.148351851851852,"0.60"
"5","slope_av","EIA","EAA",10000,9.77,2.31314148285185,2.42149866029671,"0.71",0.990684687085786,1.49793864144258,"0.042",0.169925925925926,"0.43"
"6","slope_sd","EIA","EAA",10000,8.98,1.85082301059259,1.64952544216893,"0.46",1.10460426187871,1.36014569959379,"0.41",0.239777777777778,"0.093"
"7","soil_cf","EIA","EAA",10000,37.9,8.54949967044444,12.7025063712905,"0.0066",4.66699818150187,8.02045610264294,"0.0025",0.304425925925926,"0.014"
"8","solar_hr","EIA","EAA",10000,28.7,11.4392629544444,11.3906088534553,"0.072",0.0779862840114947,0.141401234495808,"0.0073",0.240740740740741,"0.091"
"9","tpi_av","EIA","EAA",10000,3.52,-0.388419516037037,-0.395941689268244,"0.98",0.514665799710459,1.08381877580423,"0.047",0.199055555555556,"0.24"
"10","tpi_sd","EIA","EAA",10000,13.5,2.81529587066667,2.72800093944756,"0.83",1.33775572837012,2.07683677425114,"0.038",0.280388888888889,"0.03"
"11","tri_av","EIA","EAA",10000,23,89.8222554533333,95.3279276754869,"0.34",19.0765061765254,30.0131135981107,"0.012",0.191,"0.29"
"12","tri_sd","EIA","EAA",10000,16,26.8773192125185,23.858836379466,"0.42",13.5394369205352,18.7504705453632,"0.25",0.260388888888889,"0.054"
"13","aspect_av","EIA","EAA",10000,5.27,165.81340829,165.954373721056,"0.99",61.0209507663145,57.4788414163182,"0.83",0.111925925925926,"0.89"
"14","aspect_sd","EIA","EAA",10000,50.8,80.5849333485185,60.7011987674702,"0.00",24.6469220911149,24.5391878134792,"0.99",0.400277777777778,"0.00039"
