"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","LBA","EAA",10000,0,6.118279934,6.2245109798032,"0.76",0.734163996427772,0.772763413998897,"0.74",0.287666666666667,"0.71"
"2","cti_sd","LBA","EAA",10000,10.4,2.7876950105,2.3470987837415,"0.052",0.550815989566557,0.5439130448361,"0.92",0.4465,"0.18"
"3","elev_av","LBA","EAA",10000,15,387.988667816667,434.560434213308,"0.012",17.1660389557642,44.6641657772501,"0.027",0.631,"0.017"
"4","elev_sd","LBA","EAA",10000,19.3,15.5353501633333,14.494654249023,"0.76",1.86200986376661,7.50878939985,"0.033",0.576,"0.038"
"5","slope_av","LBA","EAA",10000,15.4,2.881818334,2.41887080375568,"0.47",0.787989454252949,1.39742377043029,"0.23",0.5675,"0.042"
"6","slope_sd","LBA","EAA",10000,23,2.3720366955,1.64477686957178,"0.18",0.910324955822629,1.26188716645445,"0.48",0.612,"0.023"
"7","soil_cf","LBA","EAA",10000,8.01,6.34475159633333,12.7323645452572,"0.046",2.19450904811709,7.6612541016281,"0.038",0.548833333333333,"0.054"
"8","solar_hr","LBA","EAA",10000,0,11.4263833366667,11.3903305603602,"0.54",0.0858984759147336,0.132709420817034,"0.32",0.2175,"0.94"
"9","tpi_av","LBA","EAA",10000,0,-0.434786038166667,-0.3917367154038,"0.94",0.563663995860572,0.949696679751996,"0.49",0.310166666666667,"0.61"
"10","tpi_sd","LBA","EAA",10000,19.1,3.61923666766667,2.7137140326868,"0.30",0.573037698457873,1.94890117454585,"0.062",0.6415,"0.015"
"11","tri_av","LBA","EAA",10000,7.23,99.7065327983333,95.4030289978097,"0.73",16.0408323482324,28.6980321380948,"0.17",0.359,"0.42"
"12","tri_sd","LBA","EAA",10000,25.8,32.2073834733333,23.777045041247,"0.27",6.13970550334234,16.9741540859981,"0.16",0.6535,"0.012"
"13","aspect_av","LBA","EAA",10000,7.23,128.906101336667,165.753013345482,"0.13",56.5990462431232,53.0730576348989,"0.94",0.408333333333333,"0.27"
"14","aspect_sd","LBA","EAA",10000,22.1,83.4769190233333,60.8079226670868,"0.02",15.2904021264532,23.6222351401978,"0.18",0.6225,"0.019"
