"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","LIA","EAA",10000,25.8,6.14419411208824,6.22253937172777,"0.57",0.616787317717917,0.798108789709938,"0.0085",0.156117647058823,"0.39"
"2","cti_sd","LIA","EAA",10000,36.7,2.67775559067647,2.34220204157084,"5e-04",0.578449609999344,0.564432404399932,"0.87",0.253676470588235,"0.027"
"3","elev_av","LIA","EAA",10000,62.1,414.069939120588,434.718323295345,"0.012",43.8473640379927,46.552350876169,"0.55",0.329441176470588,"0.0014"
"4","elev_sd","LIA","EAA",10000,7.03,14.5078038469706,14.5205260729764,"1.00",11.0054448974934,7.96442310535578,"0.02",0.129764705882353,"0.63"
"5","slope_av","LIA","EAA",10000,15.6,2.63701734814706,2.42257187256154,"0.41",2.13098380419513,1.50049680132332,"0.009",0.110588235294118,"0.81"
"6","slope_sd","LIA","EAA",10000,5.08,2.20341965473529,1.64495733199828,"0.021",1.92095884000396,1.36933494814601,"0.066",0.180235294117647,"0.23"
"7","soil_cf","LIA","EAA",10000,41.8,9.54295499182353,12.7105452698129,"0.02",6.32005799170481,8.05357734531203,"0.061",0.260852941176471,"0.021"
"8","solar_hr","LIA","EAA",10000,20.9,11.4003412023529,11.3904623764011,"0.68",0.158188728222657,0.141658196150725,"0.51",0.232970588235294,"0.053"
"9","tpi_av","LIA","EAA",10000,2.54,-0.607414197352941,-0.396158151105635,"0.26",1.18078570166708,1.09186945148196,"0.85",0.143176470588235,"0.50"
"10","tpi_sd","LIA","EAA",10000,23,3.23543368020588,2.72664123505679,"0.15",2.60162590635805,2.08273760899199,"0.10",0.182235294117647,"0.22"
"11","tri_av","LIA","EAA",10000,18.2,94.3703766964706,95.4121955933139,"0.84",38.630594801143,30.0584280205826,"0.037",0.146941176470588,"0.47"
"12","tri_sd","LIA","EAA",10000,25.8,30.2444121557941,23.823979051061,"0.047",23.5807907606025,18.820645246736,"0.33",0.206588235294118,"0.12"
"13","aspect_av","LIA","EAA",10000,4.69,166.480080855,165.933694175624,"0.96",54.4112752387398,57.7301837352723,"0.68",0.160294117647059,"0.36"
"14","aspect_sd","LIA","EAA",10000,23.8,72.2399633367647,60.78585887964,"0.0057",26.5074849030434,24.5243808830225,"0.48",0.254558823529412,"0.026"
