"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","RM","EAA",10000,47.7,6.21385737463158,6.22320154386421,"0.96",0.493269991458084,0.794126300094463,"0.0015",0.210236842105263,"0.38"
"2","cti_sd","RM","EAA",10000,46.3,2.70550209594737,2.34339241387853,"0.0044",0.403902412023365,0.559906099950997,"0.065",0.415973684210526,"0.003"
"3","elev_av","RM","EAA",10000,43,416.703526557895,434.9424832164,"0.092",24.3353992410987,46.3736938097993,"0.0019",0.270605263157895,"0.13"
"4","elev_sd","RM","EAA",10000,14.6,10.7154920980526,14.4889311096747,"0.038",5.09939037518805,7.87603770954543,"0.08",0.319710526315789,"0.043"
"5","slope_av","RM","EAA",10000,19.3,1.83716736357895,2.4194311128844,"0.089",1.4076291119122,1.48963678131625,"0.71",0.386973684210526,"0.0071"
"6","slope_sd","RM","EAA",10000,28.1,1.18993025547368,1.64816244880696,"0.15",1.15996621497597,1.3519387482712,"0.60",0.310473684210526,"0.053"
"7","soil_cf","RM","EAA",10000,26,8.71713322042105,12.7058557715641,"0.031",3.43853523583117,7.97907523488617,"0.0019",0.288,"0.088"
"8","solar_hr","RM","EAA",10000,24.8,11.4352053094737,11.3900156773422,"0.16",0.104361590673279,0.140480786270093,"0.19",0.268605263157895,"0.13"
"9","tpi_av","RM","EAA",10000,1.37,-0.121156620578947,-0.396591288184589,"0.28",0.247699011681262,1.06804305779918,"0.0063",0.220973684210526,"0.32"
"10","tpi_sd","RM","EAA",10000,23.6,1.91601771747368,2.73163695487043,"0.089",1.98137483453868,2.05839988792493,"0.73",0.273473684210526,"0.12"
"11","tri_av","RM","EAA",10000,31.1,80.3655738821053,95.4323530496767,"0.027",22.8030406590186,29.7787559810203,"0.17",0.365578947368421,"0.013"
"12","tri_sd","RM","EAA",10000,23,16.1900290192105,23.9149119768066,"0.076",11.7933316768427,18.5378652655349,"0.21",0.308473684210526,"0.056"
"13","aspect_av","RM","EAA",10000,5.08,188.011419605263,165.966145212145,"0.097",43.8479128854556,56.9340535851603,"0.29",0.266236842105263,"0.14"
"14","aspect_sd","RM","EAA",10000,0,65.4437060268421,60.8130544303427,"0.41",26.122528880764,24.5228539319551,"0.69",0.212736842105263,"0.36"
