"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","EIA","IAA",10000,30.7,5.67499226107407,6.11603217855234,"0.057",1.05704272158503,1.21412166428655,"0.19",0.286740740740741,"0.025"
"2","cti_sd","EIA","IAA",10000,0,2.09547087,1.96314127699513,"0.41",0.728491686009033,0.836983710546109,"0.39",0.196092592592593,"0.26"
"3","elev_av","EIA","IAA",10000,73.2,401.285221803704,435.13597576821,"1e-04",28.4700519633263,46.7073661190883,"0.001",0.466740740740741,"1.8e-05"
"4","elev_sd","EIA","IAA",10000,6.84,4.92624625885185,4.20266551236875,"0.19",3.58575365147106,2.88159057001113,"0.27",0.199444444444444,"0.24"
"5","slope_av","EIA","IAA",10000,7.42,2.64043757866667,2.29935818619907,"0.33",1.71080628880189,1.75906518137497,"0.82",0.215981481481482,"0.17"
"6","slope_sd","EIA","IAA",10000,23.2,1.52656697240741,1.01498237478814,"0.0034",1.04759313294594,0.812814676797236,"0.38",0.356814814814815,"0.0023"
"7","soil_cf","EIA","IAA",10000,37.3,8.37993075262963,12.7066638534097,"0.0071",4.80284334960811,8.31069759542854,"0.0018",0.304925925925926,"0.014"
"8","solar_hr","EIA","IAA",10000,10.5,11.4116889111111,11.3999125792376,"0.73",0.131333665007018,0.162285051064479,"0.31",0.17,"0.42"
"9","tpi_av","EIA","IAA",10000,6.64,-0.531403653037037,-0.138296876091567,"0.40",1.60785960810259,2.3599739259803,"0.29",0.16987037037037,"0.43"
"10","tpi_sd","EIA","IAA",10000,15.4,2.16108166937037,1.8266671870748,"0.30",1.37555444038355,1.63829327463635,"0.47",0.301203703703704,"0.016"
"11","tri_av","EIA","IAA",10000,0,94.8949262725926,93.7732920538534,"0.86",28.2605897282579,34.6726159551828,"0.31",0.1585,"0.52"
"12","tri_sd","EIA","IAA",10000,33,16.6363532807037,11.9985384925201,"0.011",8.89475201332823,8.98623915729353,"0.88",0.325351851851852,"0.0071"
"13","aspect_av","EIA","IAA",10000,0,165.545387363333,169.705681394085,"0.74",60.8693496295593,62.4994123843517,"0.82",0.114333333333333,"0.88"
"14","aspect_sd","EIA","IAA",10000,0,53.1790505666667,47.433332122664,"0.17",18.7583450024444,21.838378005751,"0.40",0.179944444444444,"0.35"
