"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","LIA","IAA",10000,14.5,5.82610622576471,6.11845178230036,"0.16",1.03806361971787,1.21627933293091,"0.10",0.196558823529412,"0.15"
"2","cti_sd","LIA","IAA",10000,19.3,2.11853422488235,1.96188238485376,"0.29",0.690646917966899,0.83861180005334,"0.18",0.215147058823529,"0.091"
"3","elev_av","LIA","IAA",10000,60.4,413.383265770588,435.186370504902,"0.0072",45.8316322127812,46.8151412785398,"0.80",0.342882352941176,"0.00077"
"4","elev_sd","LIA","IAA",10000,10.4,4.98592678570588,4.19723526906206,"0.11",3.9795475396277,2.89130274412506,"0.041",0.152764705882353,"0.42"
"5","slope_av","LIA","IAA",10000,20.3,2.98165387620588,2.30756949884877,"0.027",2.87478646126756,1.77682450964304,"0.019",0.161676470588235,"0.35"
"6","slope_sd","LIA","IAA",10000,22.7,1.48946319,1.01623408392932,"0.0016",1.16975673865635,0.820277413396424,"0.11",0.212,"0.099"
"7","soil_cf","LIA","IAA",10000,39.1,9.41807861205882,12.7119049689477,"0.02",6.53304720755787,8.3190564075066,"0.063",0.261352941176471,"0.021"
"8","solar_hr","LIA","IAA",10000,10.4,11.3842646658824,11.4010449232547,"0.57",0.208498339830296,0.162918018886716,"0.16",0.157382352941176,"0.38"
"9","tpi_av","LIA","IAA",10000,2.54,-0.9811085205,-0.145237271390809,"0.049",2.52227019187289,2.36030924699582,"0.95",0.193911764705882,"0.16"
"10","tpi_sd","LIA","IAA",10000,5.27,2.27261421952941,1.8265334464733,"0.12",1.83458079363545,1.65119421342794,"0.71",0.243647058823529,"0.038"
"11","tri_av","LIA","IAA",10000,5.47,100.573026651471,93.6784441899626,"0.25",49.4678177377144,34.8118775420429,"0.024",0.128088235294118,"0.64"
"12","tri_sd","LIA","IAA",10000,23.4,16.4933593829412,12.0039329229291,"0.0056",10.8895498773574,9.00767818612345,"0.55",0.276617647058824,"0.012"
"13","aspect_av","LIA","IAA",10000,0,179.227152268824,169.555484952972,"0.37",48.9634374326239,62.5613813848675,"0.15",0.133029411764706,"0.60"
"14","aspect_sd","LIA","IAA",10000,0,50.2612796608824,47.4214165586636,"0.45",18.348217652543,21.8959264354065,"0.28",0.141941176470588,"0.51"
