"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","RM","IAA",10000,55.3,5.38184580052632,6.11329374193999,"0.0082",0.719991958908461,1.21535244765673,"9e-04",0.347236842105263,"0.021"
"2","cti_sd","RM","IAA",10000,0.195,1.98069524757895,1.96617532254298,"0.92",0.607395583317445,0.835418484633459,"0.12",0.189368421052632,"0.51"
"3","elev_av","RM","IAA",10000,51.4,416.649054273684,435.260921785405,"0.083",25.0422778936107,46.6056284968368,"9e-04",0.286868421052631,"0.09"
"4","elev_sd","RM","IAA",10000,0,3.50910839284211,4.2096076475574,"0.31",1.69220279803038,2.8551976422932,"0.077",0.1715,"0.64"
"5","slope_av","RM","IAA",10000,3.32,2.11328737978947,2.29912882735928,"0.65",1.75789683651941,1.73611495779174,"0.91",0.153868421052632,"0.76"
"6","slope_sd","RM","IAA",10000,1.95,1.17001238778947,1.01468098745398,"0.42",0.977775031673018,0.798902861417007,"0.64",0.173578947368421,"0.62"
"7","soil_cf","RM","IAA",10000,25.8,8.43382747584211,12.7012397515518,"0.021",3.4430999398559,8.28702815730822,"0.0015",0.2945,"0.076"
"8","solar_hr","RM","IAA",10000,23.4,11.4123894036842,11.4004105764403,"0.75",0.155281783782884,0.160993715500425,"0.79",0.239473684210526,"0.23"
"9","tpi_av","RM","IAA",10000,0,-0.231439412210526,-0.139741198425458,"0.87",1.13350787259933,2.29975072003826,"0.14",0.182578947368421,"0.56"
"10","tpi_sd","RM","IAA",10000,4.69,1.69832870826316,1.82676346135061,"0.74",1.26441494585862,1.61102837501838,"0.42",0.273368421052632,"0.12"
"11","tri_av","RM","IAA",10000,7.81,85.8963370084211,93.6802484915483,"0.33",25.5368331276345,34.3382414677577,"0.24",0.213868421052632,"0.36"
"12","tri_sd","RM","IAA",10000,0,13.1144652117895,11.9942075334274,"0.61",9.51514842404077,8.83824808584688,"0.96",0.137789473684211,"0.87"
"13","aspect_av","RM","IAA",10000,0,184.082721373684,169.695625424007,"0.31",41.5965841671704,62.1202773728106,"0.12",0.202473684210526,"0.42"
"14","aspect_sd","RM","IAA",10000,0,53.2921694568421,47.560880086923,"0.24",17.6831349163073,21.694980210025,"0.36",0.268605263157895,"0.13"
