"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","EIA","ISA",10000,15.8,0.904649107592593,0.914947221792819,"0.18",0.0376452173421892,0.0397869137976012,"0.62",0.198462962962963,"0.24"
"2","cor_seu","EIA","ISA",10000,47.5,0.918727371481482,0.866322054546696,"0.002",0.077756460899795,0.0902312435551796,"0.27",0.412166666666667,"0.00023"
"3","cti_av","EIA","ISA",10000,44.5,4.55933521418519,6.07556949297299,"1e-04",1.20508625117758,2.04959630800686,"0.0048",0.35762962962963,"0.0022"
"4","cti_sd","EIA","ISA",10000,9.57,0.677362889148148,0.96272163034067,"0.091",0.650230593310491,0.867623036510767,"0.27",0.247240740740741,"0.077"
"5","elev_av","EIA","ISA",10000,74,402.792737040741,435.389387601086,"1e-04",27.1262950050836,46.8039972309754,"3e-04",0.450851851851852,"4e-05"
"6","elev_sd","EIA","ISA",10000,11.3,1.117440035,0.911376351034267,"0.10",0.828161408808641,0.654710054062016,"0.20",0.212203703703704,"0.18"
"7","slope_av","EIA","ISA",10000,3.91,2.91174848748148,2.29310204566699,"0.11",2.62815509623158,1.9964765291671,"0.46",0.255666666666667,"0.061"
"8","slope_sd","EIA","ISA",10000,9.96,0.688725885,0.457749039909815,"0.003",0.431424971266157,0.372138453000562,"0.74",0.345666666666667,"0.0034"
"9","soil_cf","EIA","ISA",10000,40.4,8.36483957148148,12.7597772404876,"0.007",4.8178970835336,8.3169495219746,"0.0029",0.304925925925926,"0.014"
"10","solar_hr","EIA","ISA",10000,0.586,11.4431369925926,11.4036917908915,"0.25",0.130791560296095,0.177506369429383,"0.24",0.22812962962963,"0.12"
"11","tpi_av","EIA","ISA",10000,1.17,0.58990694237037,-0.0637318188318185,"0.30",2.88556423352381,3.30266525445217,"0.59",0.202018518518519,"0.23"
"12","tpi_sd","EIA","ISA",10000,11.1,0.616571305851852,0.589629430995582,"0.79",0.352267238071125,0.502994549081635,"0.25",0.208740740740741,"0.20"
"13","view_md","EIA","ISA",10000,0,0.345485838740741,0.387083591103778,"0.33",0.234170041760941,0.223915351651759,"0.60",0.16112962962963,"0.49"
"14","view_seu","EIA","ISA",10000,0,0.175580073296296,0.124826441970148,"0.34",0.378060506208065,0.267196557676652,"0.13",0.115648148148148,"0.87"
"15","tri_av","EIA","ISA",10000,0,95.8624601025926,93.5896657321587,"0.74",33.5914440932286,37.1901176079469,"0.59",0.122092592592593,"0.82"
"16","tri_sd","EIA","ISA",10000,0,3.50584562840741,3.51761249016063,"0.99",2.12697025969742,2.55102581969677,"0.50",0.12787037037037,"0.78"
"17","view_val","EIA","ISA",10000,9.57,0.189483157185185,0.226051369705522,"0.11",0.119022150845616,0.117482956503143,"0.94",0.235018518518518,"0.11"
"18","view_mt","EIA","ISA",10000,16.4,0.0865498061851852,0.0963012081217074,"0.034",0.0294365264753732,0.0235870271002733,"0.073",0.208407407407407,"0.20"
"19","dist_str","EIA","ISA",10000,25.2,187.926134745926,325.276624018306,"0.0095",122.075283259192,269.971142856284,"0.0034",0.273592592592593,"0.037"
"20","aspect_av","EIA","ISA",10000,15.8,172.077731688519,173.455766137117,"0.93",72.703005335789,70.635501572832,"0.90",0.195944444444444,"0.26"
"21","aspect_sd","EIA","ISA",10000,0,21.1043494379259,21.2753826825367,"0.97",18.8592766572338,19.0208091944057,"0.88",0.136185185185185,"0.71"
"22","view_mnd","EIA","ISA",10000,28.1,0.298356426851852,0.35703870464207,"0.036",0.15570001567246,0.14810671581232,"0.67",0.244703703703704,"0.082"
