"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","LIA","ISA",10000,19.3,0.909157584647059,0.915067643059282,"0.39",0.0310018554727639,0.0398096277498822,"0.04",0.201588235294118,"0.13"
"2","cor_seu","LIA","ISA",10000,48.2,0.911019411176471,0.866824776171471,"0.0031",0.0846189227356806,0.0902934042884824,"0.56",0.332735294117647,"0.0012"
"3","cti_av","LIA","ISA",10000,22.3,5.10125442097059,6.07982874105068,"0.0047",2.05348970647822,2.05856320907344,"0.93",0.295911764705882,"0.0057"
"4","cti_sd","LIA","ISA",10000,15.4,0.6838639975,0.960347893886259,"0.066",0.571112314279544,0.869917633685798,"0.094",0.194294117647059,"0.16"
"5","elev_av","LIA","ISA",10000,58.8,415.040263458824,435.240551577431,"0.012",45.4057905151487,46.9064227650875,"0.72",0.317441176470588,"0.0024"
"6","elev_sd","LIA","ISA",10000,0,0.970774469852941,0.909392122557476,"0.60",0.75912998411811,0.657177601864051,"0.40",0.0821176470588236,"0.98"
"7","slope_av","LIA","ISA",10000,11.9,2.96455575847059,2.27990962437343,"0.054",3.28582073043515,2.01723769518798,"0.037",0.121529411764706,"0.71"
"8","slope_sd","LIA","ISA",10000,18.6,0.652693482529412,0.458871598864753,"0.0054",0.810765109221969,0.376361404196606,"2e-04",0.171117647058824,"0.28"
"9","soil_cf","LIA","ISA",10000,41,9.41260350467647,12.7120387167654,"0.018",6.55923565263426,8.34488062614185,"0.068",0.261352941176471,"0.021"
"10","solar_hr","LIA","ISA",10000,4.69,11.4357676514706,11.4032802652317,"0.30",0.166568153061398,0.178748284559518,"0.73",0.235382352941176,"0.049"
"11","tpi_av","LIA","ISA",10000,0,0.514807312911765,-0.0676096766819265,"0.30",3.88112017488887,3.35167168806813,"0.66",0.134705882352941,"0.58"
"12","tpi_sd","LIA","ISA",10000,0,0.659026964617647,0.587821805699212,"0.42",0.513497522087688,0.506330316014069,"0.96",0.178411764705882,"0.24"
"13","view_md","LIA","ISA",10000,0,0.406822325794118,0.387423447995312,"0.62",0.21241032958883,0.223982056630463,"0.41",0.0903823529411765,"0.95"
"14","view_seu","LIA","ISA",10000,0,0.176882205647059,0.125259422616765,"0.27",0.354968759263084,0.270607994158749,"0.18",0.100470588235294,"0.89"
"15","tri_av","LIA","ISA",10000,7.42,99.3217944,93.3836400003694,"0.36",48.6970348701567,37.4122808714995,"0.15",0.103970588235294,"0.86"
"16","tri_sd","LIA","ISA",10000,7.23,3.92863430782353,3.52415296441348,"0.36",2.26375281223417,2.5749339662882,"0.58",0.2495,"0.031"
"17","view_val","LIA","ISA",10000,0,0.240283339352941,0.226087664853369,"0.48",0.115853870639532,0.117771032334713,"0.82",0.128264705882353,"0.64"
"18","view_mt","LIA","ISA",10000,0,0.0948965725,0.0962023363805059,"0.73",0.0266426851475666,0.0235834874191531,"0.31",0.130176470588235,"0.62"
"19","dist_str","LIA","ISA",10000,23.4,197.618572464412,326.89913272852,"0.0063",134.839364530763,271.699884719459,"0.0018",0.244764705882353,"0.036"
"20","aspect_av","LIA","ISA",10000,11.9,170.314847521176,173.190919395488,"0.80",58.8313547155685,70.8807208488699,"0.17",0.163264705882353,"0.33"
"21","aspect_sd","LIA","ISA",10000,1.37,23.0119498563824,21.2387432403949,"0.59",19.5820883183267,19.1148478504507,"0.99",0.159911764705882,"0.36"
"22","view_mnd","LIA","ISA",10000,0,0.359397579235294,0.357293690008256,"0.93",0.148308817912611,0.148052058048514,"0.97",0.139647058823529,"0.53"
