"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","RM","ISA",10000,0,0.904495364736842,0.915100160143411,"0.24",0.0352343415669567,0.039679857060254,"0.43",0.193868421052632,"0.48"
"2","cor_seu","RM","ISA",10000,0,0.89927736068421,0.866566637195663,"0.12",0.0662247318147353,0.0899454595072024,"0.085",0.260973684210526,"0.15"
"3","cti_av","RM","ISA",10000,35.9,4.82203425857895,6.07795055391803,"0.0083",1.2459737587408,2.05177651669077,"0.022",0.370368421052632,"0.011"
"4","cti_sd","RM","ISA",10000,10.4,0.752603258736842,0.958977659196616,"0.31",0.641134215975132,0.85403218974818,"0.34",0.248473684210526,"0.20"
"5","elev_av","RM","ISA",10000,51.6,417.641786273684,435.191688107308,"0.11",24.7544750609868,46.6328796204656,"0.0014",0.291368421052631,"0.082"
"6","elev_sd","RM","ISA",10000,0,0.760822681263158,0.908710493566205,"0.31",0.424288216608337,0.650415292510397,"0.10",0.151973684210526,"0.78"
"7","slope_av","RM","ISA",10000,0,1.94217029063158,2.28069036783307,"0.47",1.37028632583141,1.95523350634337,"0.36",0.153973684210526,"0.76"
"8","slope_sd","RM","ISA",10000,8.01,0.684292149421053,0.457803636283679,"0.013",1.00151429692246,0.368168035697611,"0.00",0.178315789473684,"0.59"
"9","soil_cf","RM","ISA",10000,25.4,8.41965529757895,12.7483734782096,"0.024",3.44859136655561,8.27254986110012,"0.0016",0.295,"0.076"
"10","solar_hr","RM","ISA",10000,23.2,11.4522842610526,11.4038353461264,"0.24",0.0774413309130029,0.174232369073782,"0.042",0.244973684210526,"0.21"
"11","tpi_av","RM","ISA",10000,2.93,0.675364583263158,-0.0707983766501158,"0.33",3.3642894261538,3.24899894320414,"0.95",0.213605263157895,"0.36"
"12","tpi_sd","RM","ISA",10000,0,0.536174102105263,0.588879152034121,"0.66",0.474869340387743,0.490667475120465,"0.81",0.167736842105263,"0.66"
"13","view_md","RM","ISA",10000,24,0.499980214052632,0.386973844807784,"0.028",0.161778941179824,0.223628569235369,"0.012",0.301736842105263,"0.065"
"14","view_seu","RM","ISA",10000,0,0.156721998210526,0.125435770343447,"0.62",0.345887065475167,0.262761900773278,"0.39",0.0823947368421053,"1.00"
"15","tri_av","RM","ISA",10000,0,88.2231156205263,93.2511982377144,"0.56",25.7332607851053,36.797497826529,"0.20",0.174368421052632,"0.62"
"16","tri_sd","RM","ISA",10000,6.45,3.15478841257895,3.51609162117803,"0.55",1.85183160779239,2.51936686692461,"0.36",0.180473684210526,"0.57"
"17","view_val","RM","ISA",10000,0,0.257443659210526,0.225845814058343,"0.25",0.10066483321053,0.117168514899776,"0.23",0.224052631578947,"0.30"
"18","view_mt","RM","ISA",10000,37.5,0.106798856526316,0.0962526222290895,"0.051",0.0220391235465188,0.0234059237479646,"0.66",0.32621052631579,"0.036"
"19","dist_str","RM","ISA",10000,27.5,161.975437762632,326.595885005634,"0.011",97.2440246248251,267.761026119283,"0.0036",0.364605263157895,"0.013"
"20","aspect_av","RM","ISA",10000,9.96,160.924056951579,173.128289646871,"0.45",52.7297895063778,70.3958204491579,"0.13",0.172552631578947,"0.63"
"21","aspect_sd","RM","ISA",10000,0,25.4330720728421,21.2433169858845,"0.35",23.0902173116974,18.6742686379964,"0.55",0.141684210526316,"0.84"
"22","view_mnd","RM","ISA",10000,0,0.398821477105263,0.357421114756747,"0.23",0.12277768369847,0.147416970454503,"0.19",0.181947368421053,"0.56"
