"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","mound","ISA",10000,60.2,0.910353957815181,0.915060392467713,"0.024",0.0394916943865784,0.0400787157475895,"0.66",0.111265676567657,"0.003"
"2","cor_seu","mound","ISA",10000,34,0.866958986231023,0.866638282551995,"0.96",0.0902698856422032,0.0909193564351854,"0.85",0.0887937293729373,"0.032"
"3","cti_av","mound","ISA",10000,44.5,5.50136974075578,6.07926969966821,"0.00",2.03082673102762,2.07278971556398,"0.60",0.182940594059406,"4.5e-08"
"4","cti_sd","mound","ISA",10000,26.4,0.738131938950495,0.960176087471628,"0.00",0.721695660010665,0.890579283422913,"0.0038",0.140277227722772,"6.4e-05"
"5","elev_av","mound","ISA",10000,64.1,450.767399753135,435.224118814238,"0.00",53.2365360505997,47.1292488793518,"1e-04",0.141547854785479,"5.3e-05"
"6","elev_sd","mound","ISA",10000,57.4,1.14061786313531,0.910692866784942,"0.00",0.71255351739927,0.665983406442156,"0.17",0.20296699669967,"7.7e-10"
"7","slope_av","mound","ISA",10000,36.1,3.02655060217492,2.28562685759389,"0.00",2.36381881312699,2.09644114550649,"0.19",0.230569306930693,"1.4e-12"
"8","slope_sd","mound","ISA",10000,60.7,0.685278806924092,0.457590814615083,"0.00",0.601229016697507,0.388328446040916,"0.00",0.234475247524752,"5.4e-13"
"9","soil_cf","mound","ISA",10000,55.3,14.4081230910132,12.7247001718224,"1e-04",8.70932306006705,8.39280354508126,"0.30",0.15696699669967,"4.7e-06"
"10","solar_hr","mound","ISA",10000,39.3,11.3894108971947,11.4037564053831,"0.14",0.197949553235475,0.182294578992772,"0.28",0.136348184818482,"0.00011"
"11","tpi_av","mound","ISA",10000,47.1,2.81034151163366,-0.0674874473792475,"0.00",5.28028330933361,3.4407517302493,"0.00",0.294354785478548,"0.00"
"12","tpi_sd","mound","ISA",10000,40,0.756520379346535,0.588803992111351,"0.00",0.562709018176637,0.518850650385535,"0.30",0.189673267326733,"1.2e-08"
"13","view_md","mound","ISA",10000,17.8,0.412555977039604,0.387426501124205,"0.035",0.21700084003586,0.224822243526403,"0.091",0.100249174917492,"0.01"
"14","view_seu","mound","ISA",10000,36.3,0.288751601910891,0.124711768159306,"0.00",0.407004482413234,0.276127520171539,"0.00",0.18892904290429,"1.4e-08"
"15","tri_av","mound","ISA",10000,54.7,114.338542724818,93.42552974936,"0.00",37.9471694735133,38.064832307398,"0.94",0.342673267326733,"0.00"
"16","tri_sd","mound","ISA",10000,46.7,4.62679946556436,3.51369532660104,"0.00",3.60179973162948,2.64915269147721,"0.00",0.14763696369637,"2.1e-05"
"17","view_val","mound","ISA",10000,41.2,0.255431374788779,0.22583722192741,"0.00",0.120637475913795,0.118149991758608,"0.44",0.116617161716172,"0.0016"
"18","view_mt","mound","ISA",10000,55.5,0.0944917273234323,0.0962491617383416,"0.16",0.0220324718210954,0.0237210040585313,"0.045",0.138986798679868,"7.7e-05"
"19","dist_str","mound","ISA",10000,51.2,338.315761955743,326.336544394152,"0.42",208.668601118362,276.279727362053,"0.00",0.137575907590759,"9.4e-05"
"20","aspect_av","mound","ISA",10000,16,177.485385826073,173.37822290963,"0.28",68.6059740266391,71.2656329768647,"0.32",0.0475660066006601,"0.59"
"21","aspect_sd","mound","ISA",10000,57.6,30.5220538930528,21.2223827262204,"0.00",37.3552496433845,19.5667933480119,"0.00",0.113013201320132,"0.0024"
"22","view_mnd","mound","ISA",10000,51.4,0.372632178254125,0.357272666794006,"0.058",0.141628799368227,0.148887775725247,"0.091",0.0786254125412541,"0.077"
