"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","RM","EAA",10000,33.4,6.2069989045,6.22181050775158,"0.93",0.506637584531841,0.79340388272777,"0.0038",0.204388888888889,"0.45"
"2","cti_sd","RM","EAA",10000,40.8,2.65570276311111,2.34302637155591,"0.018",0.350488557962859,0.557690786074474,"0.016",0.404277777777778,"0.0059"
"3","elev_av","RM","EAA",10000,41.2,417.523556188889,434.698071141054,"0.12",24.7693268476934,46.2903159369357,"0.0017",0.267444444444444,"0.16"
"4","elev_sd","RM","EAA",10000,25.4,9.8199860785,14.4895682070636,"0.013",3.37645538949528,7.92770869606611,"0.006",0.357722222222222,"0.021"
"5","slope_av","RM","EAA",10000,17.4,1.55158832355556,2.42059310752658,"0.014",0.676218384939618,1.47880859884085,"0.012",0.430833333333333,"0.0027"
"6","slope_sd","RM","EAA",10000,23.8,0.992584167277778,1.65422348037604,"0.047",0.800736260537489,1.34937376874946,"0.12",0.354333333333333,"0.023"
"7","soil_cf","RM","EAA",10000,22.9,8.61471838377778,12.7182934923885,"0.026",3.50827821895776,7.98447569868158,"0.0029",0.288,"0.10"
"8","solar_hr","RM","EAA",10000,27,11.4552167261111,11.3907695180448,"0.05",0.0589555788735098,0.140361725344747,"0.004",0.315388888888889,"0.058"
"9","tpi_av","RM","EAA",10000,1.56,-0.148396932666667,-0.393882141226467,"0.35",0.223687094066176,1.05657492334498,"0.0076",0.209277777777778,"0.42"
"10","tpi_sd","RM","EAA",10000,22.7,1.51549205188889,2.72390921913954,"0.013",0.964100178528694,2.06433657033621,"0.022",0.317333333333333,"0.055"
"11","tri_av","RM","EAA",10000,36.9,75.9841611644444,95.2979665908355,"0.0061",12.8207507986427,29.7597083886996,"0.0018",0.400666666666667,"0.0065"
"12","tri_sd","RM","EAA",10000,24.6,14.6809917825,23.8605360685272,"0.04",10.0723499219455,18.4169395652769,"0.096",0.352333333333333,"0.024"
"13","aspect_av","RM","EAA",10000,2.73,178.676370472222,165.963479058953,"0.35",16.8113331647896,56.737966339053,"0.0021",0.260388888888889,"0.18"
"14","aspect_sd","RM","EAA",10000,0,62.875654245,60.8195211075747,"0.71",24.2868941999229,24.4676768434137,"0.91",0.206888888888889,"0.43"
