"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","EIA","IAA",10000,24,5.66929465069231,6.11587662578953,"0.057",1.07755340167031,1.21447280255182,"0.26",0.276769230769231,"0.039"
"2","cti_sd","EIA","IAA",10000,0,2.08528283011538,1.9608898964882,"0.46",0.740954483060725,0.836930975613138,"0.44",0.180423076923077,"0.37"
"3","elev_av","EIA","IAA",10000,72.5,401.173845726923,435.179023105739,"2e-04",29.0278709367812,46.6231081159691,"0.002",0.483769230769231,"1.2e-05"
"4","elev_sd","EIA","IAA",10000,0,4.60639418534615,4.20771138327042,"0.48",3.24024693829968,2.87259740147689,"0.63",0.178076923076923,"0.39"
"5","slope_av","EIA","IAA",10000,8.2,2.45723826376923,2.29619732883257,"0.66",1.44965921291489,1.75452956033638,"0.45",0.196038461538462,"0.28"
"6","slope_sd","EIA","IAA",10000,7.42,1.45377531311538,1.01674642579161,"0.0084",0.996275071694914,0.81095650153503,"0.52",0.349692307692308,"0.0038"
"7","soil_cf","EIA","IAA",10000,33.4,8.35246692288461,12.7326213068685,"0.0084",4.89579582244959,8.2884963294191,"0.006",0.302076923076923,"0.018"
"8","solar_hr","EIA","IAA",10000,18.4,11.4267884773077,11.4002459893717,"0.42",0.107407261829442,0.162042519641756,"0.086",0.178230769230769,"0.39"
"9","tpi_av","EIA","IAA",10000,2.34,-0.463103795269231,-0.139750281376977,"0.48",1.59925965825002,2.32946874235701,"0.29",0.149153846153846,"0.62"
"10","tpi_sd","EIA","IAA",10000,15.8,2.03472442107692,1.82603101323856,"0.53",1.2326826069047,1.63591166988454,"0.30",0.292153846153846,"0.025"
"11","tri_av","EIA","IAA",10000,3.32,92.1711155715385,93.7569021577528,"0.82",24.9454962848347,34.6173498011996,"0.15",0.1585,"0.54"
"12","tri_sd","EIA","IAA",10000,22.9,16.3622399476538,11.999472680565,"0.018",8.9538483079759,8.90414321890914,"0.91",0.319653846153846,"0.011"
"13","aspect_av","EIA","IAA",10000,0,160.298620088846,169.691609530309,"0.45",55.5002583474916,62.2265283783423,"0.50",0.127153846153846,"0.80"
"14","aspect_sd","EIA","IAA",10000,1.37,54.0985860938462,47.3766600232412,"0.12",18.4988542205249,21.8801740248323,"0.38",0.198153846153846,"0.27"
