"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","LIA","ISA",10000,18.2,0.90930321434375,0.914978085844756,"0.42",0.0317949109343799,0.0398571707953411,"0.071",0.19975,"0.16"
"2","cor_seu","LIA","ISA",10000,46.1,0.90879871884375,0.866569981935194,"0.0088",0.0867144402193322,0.09027656717356,"0.70",0.33825,"0.0015"
"3","cti_av","LIA","ISA",10000,9.18,5.21796375496875,6.08192585073303,"0.021",2.05539404722445,2.0549932185665,"0.94",0.2675,"0.022"
"4","cti_sd","LIA","ISA",10000,8.01,0.70377684109375,0.9589863951375,"0.097",0.583307637788057,0.873547884782988,"0.12",0.17775,"0.27"
"5","elev_av","LIA","ISA",10000,58,415.006842615625,435.311506843914,"0.014",46.8260554708732,46.9320130575486,"0.94",0.31775,"0.0035"
"6","elev_sd","LIA","ISA",10000,0,0.88962193746875,0.910233055298791,"0.86",0.698949556166868,0.657629075494344,"0.77",0.0865,"0.97"
"7","slope_av","LIA","ISA",10000,11.7,2.721492369375,2.28908071195498,"0.22",3.23099033366559,2.01260082997703,"0.048",0.1105,"0.84"
"8","slope_sd","LIA","ISA",10000,6.45,0.50639245715625,0.458400678246781,"0.48",0.406017590245303,0.374976995191843,"0.89",0.127,"0.69"
"9","soil_cf","LIA","ISA",10000,37.9,9.40268684934375,12.7144834620878,"0.024",6.76635019183993,8.34332727338506,"0.11",0.254,"0.034"
"10","solar_hr","LIA","ISA",10000,22.7,11.4443000265625,11.403520596267,"0.20",0.167795884194368,0.177661299997218,"0.75",0.2795,"0.015"
"11","tpi_av","LIA","ISA",10000,0,-0.05776692446875,-0.0713726639387875,"0.99",3.02249020292076,3.33059833493911,"0.65",0.09475,"0.94"
"12","tpi_sd","LIA","ISA",10000,0,0.592461152,0.587932982344525,"0.97",0.428280067781432,0.505356774908162,"0.50",0.149,"0.49"
"13","view_md","LIA","ISA",10000,0,0.39921259628125,0.388172110208647,"0.76",0.216479868234908,0.224153579969317,"0.60",0.072,"1.00"
"14","view_seu","LIA","ISA",10000,0,0.16432621890625,0.124871784003425,"0.42",0.349511064578399,0.269743945937122,"0.22",0.08025,"0.99"
"15","tri_av","LIA","ISA",10000,5.27,95.2299065625,93.4762230684817,"0.78",47.2184683117955,37.3216642799316,"0.24",0.07525,"0.99"
"16","tri_sd","LIA","ISA",10000,3.71,3.79392175465625,3.51989198504524,"0.54",2.25182536407883,2.56683456342432,"0.59",0.21825,"0.10"
"17","view_val","LIA","ISA",10000,1.17,0.23648246025,0.225893458532844,"0.61",0.118199425641778,0.117805623075301,"1.00",0.124,"0.72"
"18","view_mt","LIA","ISA",10000,0,0.09523217859375,0.0963015137233844,"0.81",0.027438022192364,0.0235949440552009,"0.20",0.1265,"0.69"
"19","dist_str","LIA","ISA",10000,19.1,2.9428276270625,4.63844994004971,"0.013",1.99655141929807,3.85320679604685,"0.0037",0.2465,"0.044"
"20","aspect_av","LIA","ISA",10000,10.9,164.530491696875,173.172783715494,"0.48",60.1008452027507,70.7525540954548,"0.23",0.189,"0.21"
"21","aspect_sd","LIA","ISA",10000,0,19.7886819757187,21.2928176522672,"0.68",15.6308331107398,19.109945997345,"0.39",0.11075,"0.83"
