"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","LBA","ISA",10000,19.1,0.921239823333333,0.914913819196817,"0.71",0.0104818794406977,0.0384191647375341,"0.01",0.4605,"0.16"
"2","cor_seu","LBA","ISA",10000,0,0.916186342666667,0.865986053592767,"0.19",0.0712657753130122,0.0867392141451067,"0.51",0.433666666666667,"0.21"
"3","cti_av","LBA","ISA",10000,10.5,4.320538362,6.09523132483087,"0.034",0.982144475814713,1.97810668248574,"0.08",0.561333333333333,"0.046"
"4","cti_sd","LBA","ISA",10000,2.93,0.637561674166667,0.960543970613683,"0.38",0.65012010863953,0.784184146501566,"0.64",0.375833333333333,"0.37"
"5","elev_av","LBA","ISA",10000,31.8,387.199824016667,435.374671885832,"0.013",10.3266931907532,45.3237924792202,"0.0029",0.7595,"0.002"
"6","elev_sd","LBA","ISA",10000,19.1,1.53435716033333,0.904021939341767,"0.022",1.12836874114845,0.612824397307506,"0.077",0.453833333333333,"0.17"
"7","slope_av","LBA","ISA",10000,11.1,4.32696833133333,2.27213173055802,"0.025",4.31326233435207,1.76258382724396,"0.043",0.468833333333333,"0.14"
"8","slope_sd","LBA","ISA",10000,0,0.653681502,0.458314268963467,"0.18",0.43144225565087,0.330430114232224,"0.89",0.4075,"0.27"
"9","soil_cf","LBA","ISA",10000,5.47,6.02068829566667,12.7306573315323,"0.045",2.39153169202084,7.94387721919742,"0.044",0.531833333333333,"0.068"
"10","solar_hr","LBA","ISA",10000,0,11.3750832883333,11.4028902979845,"0.69",0.21377469487229,0.162995377634362,"0.70",0.279,"0.74"
"11","tpi_av","LBA","ISA",10000,0,-0.297751605333333,-0.0705550763833333,"0.84",3.6262671484148,2.898863348485,"0.94",0.442666666666667,"0.19"
"12","tpi_sd","LBA","ISA",10000,0,0.479077165333333,0.588938955949633,"0.61",0.228460311666756,0.447688406385744,"0.34",0.238333333333333,"0.89"
"13","view_md","LBA","ISA",10000,17.8,0.1440221685,0.3879207701529,"0.0041",0.20003881251571,0.219244388877025,"0.58",0.581333333333333,"0.035"
"14","view_seu","LBA","ISA",10000,0,0.123456835666667,0.123891133216567,"1.00",0.302406252641968,0.220235556977252,"0.92",0.0906666666666667,"1.00"
"15","tri_av","LBA","ISA",10000,0,104.39030139,93.6239833127713,"0.49",41.7000826084208,34.5879358160301,"0.83",0.277666666666667,"0.75"
"16","tri_sd","LBA","ISA",10000,6.64,4.69953157483333,3.52372110880575,"0.24",2.23861978776094,2.33788048875,"0.78",0.424166666666667,"0.23"
"17","view_val","LBA","ISA",10000,18.8,0.104208087,0.225255480915083,"0.0085",0.116880609059626,0.113938725534633,"0.97",0.578833333333333,"0.036"
"18","view_mt","LBA","ISA",10000,31.1,0.0664329305,0.0962287309020167,"0.0021",0.0313423827882222,0.0224843997699611,"0.33",0.560166666666667,"0.047"
"19","dist_str","LBA","ISA",10000,0,197.7685585,323.842095991202,"0.24",110.838246596995,250.919971596974,"0.16",0.3275,"0.54"
"20","aspect_av","LBA","ISA",10000,11.3,128.946549606667,173.299545232639,"0.13",61.2628726437631,67.6699649526854,"0.68",0.446666666666667,"0.18"
"21","aspect_sd","LBA","ISA",10000,0,13.6362124245,21.2074241788523,"0.33",11.2248499112937,16.9915956347963,"0.48",0.378,"0.36"
"22","view_mnd","LBA","ISA",10000,53.5,0.162374600666667,0.356419922558033,"0.0012",0.108729916961796,0.142669845698443,"0.34",0.633333333333333,"0.016"
