"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","LIA","ISA",10000,17.8,0.90930321434375,0.914974970341659,"0.42",0.0317949109343799,0.0397739313440779,"0.071",0.19975,"0.16"
"2","cor_seu","LIA","ISA",10000,45.9,0.90879871884375,0.866621438677122,"0.008",0.0867144402193322,0.0900755691413637,"0.70",0.33825,"0.0015"
"3","cti_av","LIA","ISA",10000,9.38,5.21796375496875,6.0828080545079,"0.02",2.05539404722445,2.05524090172301,"0.94",0.2675,"0.022"
"4","cti_sd","LIA","ISA",10000,8.59,0.70377684109375,0.960211971567984,"0.097",0.583307637788057,0.871179149641643,"0.12",0.17775,"0.27"
"5","elev_av","LIA","ISA",10000,57.6,415.006842615625,435.33643261418,"0.014",46.8260554708732,46.7822828402296,"0.95",0.31775,"0.0035"
"6","elev_sd","LIA","ISA",10000,0.586,0.88962193746875,0.911454754768725,"0.86",0.698949556166868,0.656820288822596,"0.78",0.0865,"0.97"
"7","slope_av","LIA","ISA",10000,11.7,2.721492369375,2.28303878604765,"0.23",3.23099033366559,2.01691252270922,"0.048",0.1105,"0.84"
"8","slope_sd","LIA","ISA",10000,6.84,0.50639245715625,0.458340292632016,"0.48",0.406017590245303,0.373894048284166,"0.88",0.127,"0.69"
"9","soil_cf","LIA","ISA",10000,37.9,9.40268684934375,12.710056954754,"0.024",6.76635019183993,8.3261497836475,"0.11",0.254,"0.034"
"10","solar_hr","LIA","ISA",10000,22.3,11.4443000265625,11.4035139884856,"0.20",0.167795884194368,0.177951749345918,"0.74",0.2795,"0.015"
"11","tpi_av","LIA","ISA",10000,0,-0.05776692446875,-0.0616975934658375,"0.99",3.02249020292076,3.31915074228266,"0.66",0.09475,"0.94"
"12","tpi_sd","LIA","ISA",10000,0,0.592461152,0.589784191597347,"0.97",0.428280067781432,0.502251061452378,"0.51",0.149,"0.49"
"13","view_md","LIA","ISA",10000,0,0.39921259628125,0.387652903472059,"0.77",0.216479868234908,0.224322047193481,"0.60",0.072,"1.00"
"14","view_seu","LIA","ISA",10000,0,0.16432621890625,0.124160558927066,"0.42",0.349511064578399,0.270544749148138,"0.23",0.08025,"0.99"
"15","tri_av","LIA","ISA",10000,5.47,95.2299065625,93.4658020649764,"0.78",47.2184683117955,37.2645446542506,"0.24",0.07525,"0.99"
"16","tri_sd","LIA","ISA",10000,4.1,3.79392175465625,3.51055456042303,"0.57",2.25182536407883,2.57733307333839,"0.58",0.21825,"0.10"
"17","view_val","LIA","ISA",10000,0,0.23648246025,0.225951339177324,"0.61",0.118199425641778,0.117752191425342,"1.00",0.124,"0.72"
"18","view_mt","LIA","ISA",10000,0,0.09523217859375,0.0961882674985406,"0.80",0.027438022192364,0.023539074004415,"0.21",0.1265,"0.69"
"19","dist_str","LIA","ISA",10000,17.2,199.394630437187,325.602762698366,"0.0079",138.358697221916,270.470562484814,"0.0051",0.2435,"0.048"
"20","aspect_av","LIA","ISA",10000,11.5,169.0054022325,173.275758900255,"0.72",55.3664000497893,70.7965508322209,"0.086",0.15775,"0.41"
"21","aspect_sd","LIA","ISA",10000,6.25,20.9049712874063,21.1750138218927,"0.93",15.4669575875577,19.0782885652106,"0.37",0.142,"0.55"
"22","view_mnd","LIA","ISA",10000,0,0.361589897,0.357411882055584,"0.87",0.15176018945251,0.148374402119608,"0.85",0.13475,"0.62"
