"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","EBA","EAA",10000,10.7,6.4434309006,6.22203857487962,"0.39",0.52914805337804,0.788043066980926,"0.056",0.3205,"0.26"
"2","cti_sd","EBA","EAA",10000,0,2.4198610187,2.34187760852079,"0.66",0.456250004416156,0.553490411762487,"0.39",0.257,"0.53"
"3","elev_av","EBA","EAA",10000,0,429.26430053,434.852993390718,"0.72",30.6372093134706,45.6582588723997,"0.11",0.2305,"0.67"
"4","elev_sd","EBA","EAA",10000,0,12.6683199876,14.4800007494664,"0.47",5.45358630494819,7.73152197677515,"0.27",0.227,"0.68"
"5","slope_av","EBA","EAA",10000,0,1.8388200045,2.42289855014024,"0.22",0.764596492436848,1.44951642953595,"0.10",0.288,"0.38"
"6","slope_sd","EBA","EAA",10000,0,1.1275581032,1.64852280239126,"0.23",0.812118850245591,1.30351555977433,"0.26",0.2295,"0.67"
"7","soil_cf","EBA","EAA",10000,0,9.8542978759,12.7343741518978,"0.27",5.22107976732201,7.82427789507266,"0.13",0.3225,"0.25"
"8","solar_hr","EBA","EAA",10000,0,11.41605997,11.3899480773325,"0.58",0.0740455242391832,0.137061412240359,"0.10",0.2155,"0.74"
"9","tpi_av","EBA","EAA",10000,3.91,-0.2679755505,-0.39360239692998,"0.73",0.552870063431525,1.00861687691112,"0.31",0.2705,"0.46"
"10","tpi_sd","EBA","EAA",10000,0,1.8129650056,2.72546210348498,"0.16",1.145364417449,2.01742761935121,"0.086",0.2835,"0.40"
"11","tri_av","EBA","EAA",10000,0,85.16349945,95.2562593879576,"0.28",18.6423652299787,29.3725990452542,"0.13",0.243,"0.60"
"12","tri_sd","EBA","EAA",10000,0,18.040933132,23.8953165049175,"0.34",12.323537565074,17.7231441258771,"0.46",0.249,"0.57"
"13","aspect_av","EBA","EAA",10000,7.23,159.455792095,166.099337188125,"0.72",46.5166821891796,55.328234953028,"0.53",0.243,"0.60"
"14","aspect_sd","EBA","EAA",10000,0,58.757815187,60.8397718555347,"0.80",27.7610428668279,24.2081834316047,"0.55",0.215,"0.75"
