"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","EIA","EAA",10000,4.3,6.07064615761538,6.22121229133888,"0.34",0.644654970575066,0.796266957563676,"0.053",0.161653846153846,"0.51"
"2","cti_sd","EIA","EAA",10000,33.6,2.65485460476923,2.34030567855003,"0.0042",0.564872655814143,0.563725629814911,"0.97",0.284538461538462,"0.031"
"3","elev_av","EIA","EAA",10000,67.8,403.379422703846,434.810930755905,"4e-04",28.6123411436122,46.3507468897383,"0.0021",0.421653846153846,"0.00022"
"4","elev_sd","EIA","EAA",10000,8.98,12.6476011645385,14.5115163414382,"0.24",5.13840570770744,7.93124815774189,"0.045",0.181576923076923,"0.37"
"5","slope_av","EIA","EAA",10000,8.98,2.27224615446154,2.4223872091646,"0.63",0.986789045444028,1.49664122713604,"0.046",0.178576923076923,"0.39"
"6","slope_sd","EIA","EAA",10000,10.5,1.78554043061538,1.65074626587943,"0.61",1.07204702611299,1.36454127667843,"0.35",0.231230769230769,"0.13"
"7","soil_cf","EIA","EAA",10000,34.2,8.53110080476923,12.6936188027283,"0.0067",4.75842424700646,8.02154735618805,"0.0042",0.301576923076923,"0.019"
"8","solar_hr","EIA","EAA",10000,32.6,11.4427730846154,11.3897151432057,"0.061",0.077325033758147,0.141151845783224,"0.0086",0.269230769230769,"0.048"
"9","tpi_av","EIA","EAA",10000,1.95,-0.375756880923077,-0.392998254799638,"0.94",0.520551350239539,1.08095417009539,"0.055",0.181961538461538,"0.36"
"10","tpi_sd","EIA","EAA",10000,19.9,2.70773724180769,2.7259466704983,"0.96",1.23948394651587,2.07446327544921,"0.029",0.276115384615385,"0.04"
"11","tri_av","EIA","EAA",10000,18.9,89.1449576169231,95.333447977641,"0.30",19.1203662823866,29.9349341749578,"0.015",0.191,"0.31"
"12","tri_sd","EIA","EAA",10000,14.8,25.7446007549231,23.8402983689339,"0.61",12.4346665095955,18.6869654371084,"0.17",0.256115384615385,"0.069"
"13","aspect_av","EIA","EAA",10000,5.27,162.030877781923,165.999084684773,"0.74",58.9130125652347,57.2066786714974,"0.98",0.147538461538462,"0.63"
"14","aspect_sd","EIA","EAA",10000,49,79.1527831503846,60.7813934654183,"2e-04",23.9619698199561,24.4547184927731,"0.80",0.391730769230769,"0.00076"
