"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","APH","IAA",10000,15,5.64151547507692,6.11522903834333,"0.16",0.881794925876142,1.20562429601485,"0.078",0.317,"0.15"
"2","cti_sd","APH","IAA",10000,9.57,2.00570800215385,1.96197849036535,"0.85",0.533320006073454,0.824998357784071,"0.092",0.218884615384615,"0.57"
"3","elev_av","APH","IAA",10000,16.2,417.156003507692,435.15023450837,"0.17",27.6607573529081,46.2933069246822,"0.021",0.313653846153846,"0.16"
"4","elev_sd","APH","IAA",10000,0,3.28944000830769,4.21899678569682,"0.26",1.08592465373827,2.82130876293002,"0.03",0.2435,"0.43"
"5","slope_av","APH","IAA",10000,0,1.77924691723077,2.29560694809988,"0.29",0.684822312561147,1.7020828583864,"0.083",0.2105,"0.62"
"6","slope_sd","APH","IAA",10000,0,0.964114478,1.01813695863222,"0.82",0.612346567605878,0.780253474415647,"0.52",0.149730769230769,"0.93"
"7","soil_cf","APH","IAA",10000,16.6,7.00003310330769,12.7105238723665,"0.013",3.53843336777074,8.22111221292481,"0.01",0.518653846153846,"0.0019"
"8","solar_hr","APH","IAA",10000,14.8,11.4621923153846,11.4006972547593,"0.18",0.0820202392325675,0.158986045130535,"0.068",0.324153846153846,"0.13"
"9","tpi_av","APH","IAA",10000,3.32,0.179282432307692,-0.152487285503523,"0.61",1.8091069538039,2.23928384920762,"0.60",0.191730769230769,"0.73"
"10","tpi_sd","APH","IAA",10000,3.71,1.55648087061538,1.83038926287613,"0.57",0.902265407447306,1.57173899316535,"0.20",0.1715,"0.84"
"11","tri_av","APH","IAA",10000,0,82.6472226646154,93.666703348014,"0.26",14.9818524626994,33.9502136450431,"0.043",0.246076923076923,"0.41"
"12","tri_sd","APH","IAA",10000,0,13.1670084366923,12.0180946747013,"0.65",8.7660728084208,8.57449062425347,"0.91",0.1725,"0.84"
"13","aspect_av","APH","IAA",10000,21.3,176.2207544,169.728247113866,"0.70",41.1779465562234,61.0461887819952,"0.20",0.269730769230769,"0.30"
"14","aspect_sd","APH","IAA",10000,25.8,50.8965961476923,47.3978694500735,"0.56",16.9066419377009,21.4400928781265,"0.38",0.263,"0.33"
