"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","LBA","IAA",10000,0,6.11889831233333,6.11956642933682,"1.00",1.38169085592571,1.17976302850146,"0.62",0.229,"0.91"
"2","cti_sd","LBA","IAA",10000,6.05,2.43318181233333,1.96209135852905,"0.17",0.940926321038638,0.802374337250984,"0.73",0.458333333333333,"0.16"
"3","elev_av","LBA","IAA",10000,30.7,385.658498116667,435.143131765995,"0.0094",10.9993562219753,45.4489984903535,"0.004",0.7635,"0.0019"
"4","elev_sd","LBA","IAA",10000,0,6.37568324716667,4.20300975123887,"0.056",4.45891743899132,2.66468387547257,"0.29",0.421666666666667,"0.24"
"5","slope_av","LBA","IAA",10000,0,3.25456504033333,2.30730176585405,"0.17",1.78385765443246,1.56482070914593,"0.97",0.510333333333333,"0.089"
"6","slope_sd","LBA","IAA",10000,7.62,2.02894167116667,1.01413159537333,"0.011",0.962722364163909,0.721957135034539,"0.85",0.712,"0.0046"
"7","soil_cf","LBA","IAA",10000,5.86,6.05695339116667,12.7239788097921,"0.042",2.39887306128257,7.93791959692407,"0.046",0.536333333333333,"0.064"
"8","solar_hr","LBA","IAA",10000,0,11.3791503933333,11.4003191126903,"0.76",0.143449283050166,0.151349732744521,"0.75",0.2825,"0.73"
"9","tpi_av","LBA","IAA",10000,2.93,-1.01778762033333,-0.15179461072995,"0.31",2.25844310102886,2.00942414040329,"0.91",0.408,"0.27"
"10","tpi_sd","LBA","IAA",10000,16.8,2.66827831633333,1.82355602505335,"0.21",0.99895522352271,1.45735271641686,"0.47",0.6295,"0.017"
"11","tri_av","LBA","IAA",10000,0,107.314650203333,93.550220136961,"0.34",28.0270330060764,32.3384778097539,"0.60",0.438333333333333,"0.20"
"12","tri_sd","LBA","IAA",10000,29.1,22.772633235,12.0262677924155,"0.011",8.11566536692597,7.90126264938375,"0.84",0.7235,"0.0038"
"13","aspect_av","LBA","IAA",10000,11.1,137.146661648333,169.747256877323,"0.20",47.6587810815649,58.0993927014148,"0.57",0.457666666666667,"0.16"
"14","aspect_sd","LBA","IAA",10000,0,52.7640943783333,47.5098913960924,"0.55",22.5659297070166,20.6961051994485,"0.96",0.245,"0.87"
