"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cti_av","RM","IAA",10000,53.3,5.43508055477778,6.11776615847489,"0.02",0.70133420821771,1.21195352973813,"8e-04",0.341388888888889,"0.031"
"2","cti_sd","RM","IAA",10000,0,2.0169655415,1.96081025563965,"0.79",0.603461407693435,0.830810637823264,"0.13",0.186444444444444,"0.56"
"3","elev_av","RM","IAA",10000,42.4,417.109334305556,435.373134427419,"0.10",25.6854581676182,46.5182244137798,"0.0023",0.283944444444444,"0.11"
"4","elev_sd","RM","IAA",10000,0,3.29071331027778,4.19476525103634,"0.19",1.43960232743633,2.85199739966922,"0.033",0.189444444444444,"0.54"
"5","slope_av","RM","IAA",10000,3.32,1.73970721155556,2.30428273663542,"0.18",0.681407306017626,1.72859386555866,"0.04",0.2065,"0.43"
"6","slope_sd","RM","IAA",10000,2.15,1.04176640677778,1.01837399026642,"0.90",0.825473390148095,0.800528674170178,"0.95",0.153111111111111,"0.80"
"7","soil_cf","RM","IAA",10000,21.3,8.33692897727778,12.740631914821,"0.025",3.51616203215973,8.25420935734925,"0.0027",0.2945,"0.091"
"8","solar_hr","RM","IAA",10000,18.6,11.4425666066667,11.4003840817386,"0.27",0.0849140875305668,0.16090478395599,"0.047",0.283333333333333,"0.11"
"9","tpi_av","RM","IAA",10000,0.586,-0.180920492222222,-0.146081675628178,"0.94",1.1441483499489,2.30718830166541,"0.16",0.217666666666667,"0.37"
"10","tpi_sd","RM","IAA",10000,4.88,1.45524418344444,1.8282679123896,"0.36",0.709954568265745,1.60834106604311,"0.057",0.270444444444444,"0.15"
"11","tri_av","RM","IAA",10000,12.1,81.0407447811111,93.8380731579848,"0.13",14.703100675687,34.3289594356317,"0.015",0.2665,"0.16"
"12","tri_sd","RM","IAA",10000,3.91,12.8900132713333,11.9938054970104,"0.69",9.73911273046796,8.77265734689864,"0.92",0.120277777777778,"0.96"
"13","aspect_av","RM","IAA",10000,4.1,178.792842994444,169.768493557809,"0.53",35.624547486424,61.7912697514562,"0.05",0.190777777777778,"0.53"
"14","aspect_sd","RM","IAA",10000,0,52.1592763772222,47.4799556854373,"0.36",17.4718932386393,21.6652416088429,"0.34",0.259833333333333,"0.18"
