"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","APH","ISA",10000,19.5,0.905147066538462,0.915099811159931,"0.37",0.0186850387085445,0.0394101058228177,"0.0051",0.3165,"0.15"
"2","cor_seu","APH","ISA",10000,0,0.891855767076923,0.866740856498823,"0.32",0.0676060529424968,0.089427960190054,"0.19",0.240730769230769,"0.44"
"3","cti_av","APH","ISA",10000,9.57,5.05844925007692,6.06878783930376,"0.074",1.32306882844482,2.02533031105056,"0.08",0.308,"0.17"
"4","cti_sd","APH","ISA",10000,3.12,0.789102155538462,0.957385089415854,"0.50",0.746986502712409,0.840880919395738,"0.65",0.228230769230769,"0.51"
"5","elev_av","APH","ISA",10000,17.2,417.861457238462,435.336748568428,"0.19",27.6252606456532,46.4182977998897,"0.019",0.310653846153846,"0.17"
"6","elev_sd","APH","ISA",10000,0,0.623140457846154,0.910633177896346,"0.11",0.260913581193996,0.639788553373115,"0.021",0.2885,"0.23"
"7","slope_av","APH","ISA",10000,2.15,1.51469638715385,2.28237519009215,"0.17",0.517088579245112,1.90966739859473,"0.054",0.31,"0.17"
"8","slope_sd","APH","ISA",10000,0.977,0.358390151461538,0.457622380634738,"0.35",0.154953140507111,0.358071504921474,"0.12",0.255,"0.37"
"9","soil_cf","APH","ISA",10000,17.6,6.97955773430769,12.6988592033964,"0.012",3.53593588595715,8.22833227265326,"0.0091",0.526653846153846,"0.0015"
"10","solar_hr","APH","ISA",10000,7.42,11.4849307715385,11.4040744229954,"0.10",0.0897547178393517,0.172063019564843,"0.11",0.367730769230769,"0.061"
"11","tpi_av","APH","ISA",10000,2.73,0.810870037538462,-0.0450438854008308,"0.33",2.68522324849264,3.15155991054409,"0.63",0.294576923076923,"0.21"
"12","tpi_sd","APH","ISA",10000,0,0.425434847307692,0.587131677810238,"0.24",0.229035963900949,0.4825945871398,"0.14",0.198076923076923,"0.69"
"13","view_md","APH","ISA",10000,0,0.427922432307692,0.386901264324862,"0.52",0.212233332653141,0.22310098022805,"0.64",0.167230769230769,"0.86"
"14","view_seu","APH","ISA",10000,0,0,0.123803347242877,"0.094",0,0.253711893895679,"0.03",0.236,"0.47"
"15","tri_av","APH","ISA",10000,11.1,81.50249951,93.3670349304735,"0.26",12.3862272760401,36.1164238521208,"0.028",0.303576923076923,"0.18"
"16","tri_sd","APH","ISA",10000,8.98,3.37560581938462,3.52975468367569,"0.85",3.27062675296855,2.46641365516648,"0.58",0.293307692307692,"0.22"
"17","view_val","APH","ISA",10000,0,0.248728850769231,0.225278035483852,"0.49",0.112278715421872,0.11685020440647,"0.75",0.270461538461538,"0.30"
"18","view_mt","APH","ISA",10000,24.8,0.109213119,0.0961087232335385,"0.05",0.0195275856405856,0.0232689293669952,"0.38",0.352576923076923,"0.081"
"19","dist_str","APH","ISA",10000,0,219.790795543077,326.312687402002,"0.16",196.57400453001,264.924223410559,"0.39",0.301384615384615,"0.19"
"20","aspect_av","APH","ISA",10000,0,182.070888907692,173.236521750873,"0.65",62.1781139240416,69.6509206328547,"0.54",0.173038461538462,"0.83"
"21","aspect_sd","APH","ISA",10000,8.01,23.8656568376154,21.2764352358464,"0.64",27.9019730550872,18.407361614,"0.26",0.168538461538462,"0.86"
"22","view_mnd","APH","ISA",10000,0,0.392966237230769,0.356879145034462,"0.39",0.132704369848168,0.146714858646188,"0.50",0.202461538461538,"0.66"
