"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","APH","ISA",10000,21.5,0.905147066538462,0.915050097288362,"0.37",0.0186850387085445,0.039342010450831,"0.004",0.3165,"0.15"
"2","cor_seu","APH","ISA",10000,0,0.891855767076923,0.866462764529992,"0.32",0.0676060529424968,0.0892777707797415,"0.20",0.240730769230769,"0.44"
"3","cti_av","APH","ISA",10000,5.66,5.05844925007692,6.07664833117707,"0.077",1.32306882844482,2.02738771424254,"0.077",0.308,"0.17"
"4","cti_sd","APH","ISA",10000,2.93,0.789102155538462,0.961779414231254,"0.48",0.746986502712409,0.83707405250408,"0.66",0.228230769230769,"0.51"
"5","elev_av","APH","ISA",10000,18,417.861457238462,435.265643990055,"0.18",27.6252606456532,46.3181325658845,"0.02",0.310653846153846,"0.17"
"6","elev_sd","APH","ISA",10000,0,0.623140457846154,0.912021583283531,"0.11",0.260913581193996,0.64143485596069,"0.023",0.2885,"0.23"
"7","slope_av","APH","ISA",10000,1.95,1.51469638715385,2.28643465633532,"0.17",0.517088579245112,1.91549205844226,"0.053",0.31,"0.17"
"8","slope_sd","APH","ISA",10000,0.977,0.358390151461538,0.456457382704831,"0.35",0.154953140507111,0.356459998030432,"0.12",0.255,"0.37"
"9","soil_cf","APH","ISA",10000,16.4,6.97955773430769,12.7492837035936,"0.011",3.53593588595715,8.21885542912852,"0.011",0.526653846153846,"0.0015"
"10","solar_hr","APH","ISA",10000,7.42,11.4849307715385,11.4043406796225,"0.10",0.0897547178393517,0.172485210417814,"0.11",0.367730769230769,"0.061"
"11","tpi_av","APH","ISA",10000,3.12,0.810870037538462,-0.0615790473222923,"0.33",2.68522324849264,3.15391797625888,"0.63",0.294576923076923,"0.21"
"12","tpi_sd","APH","ISA",10000,0,0.425434847307692,0.588288978470031,"0.24",0.229035963900949,0.480517047061787,"0.14",0.198076923076923,"0.69"
"13","view_md","APH","ISA",10000,0,0.427922432307692,0.387238712337708,"0.52",0.212233332653141,0.22291485334592,"0.64",0.167230769230769,"0.86"
"14","view_seu","APH","ISA",10000,0,0,0.124745111348115,"0.099",0,0.253715279536312,"0.03",0.236,"0.47"
"15","tri_av","APH","ISA",10000,12.1,81.50249951,93.5172550224543,"0.25",12.3862272760401,36.3760014497035,"0.031",0.303576923076923,"0.18"
"16","tri_sd","APH","ISA",10000,9.18,3.37560581938462,3.51724936569384,"0.85",3.27062675296855,2.45772230618069,"0.58",0.293307692307692,"0.22"
"17","view_val","APH","ISA",10000,0,0.248728850769231,0.225660996554469,"0.49",0.112278715421872,0.116527083207564,"0.74",0.270461538461538,"0.30"
"18","view_mt","APH","ISA",10000,23.8,0.109213119,0.0962700387943538,"0.049",0.0195275856405856,0.0231838833059583,"0.38",0.352576923076923,"0.081"
"19","dist_str","APH","ISA",10000,0,3.01718257707692,4.65328424416159,"0.13",2.76375554142694,3.74011096939931,"0.35",0.334384615384615,"0.11"
"20","aspect_av","APH","ISA",10000,0,182.070888907692,173.28474703136,"0.66",62.1781139240416,69.6391967572705,"0.55",0.173038461538462,"0.83"
"21","aspect_sd","APH","ISA",10000,8.2,23.8656568376154,21.2270638458769,"0.64",27.9019730550872,18.3497469501961,"0.26",0.168538461538462,"0.86"
