"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","EBA","ISA",10000,9.96,0.9151447952,0.91513736856911,"1.00",0.0235362485564816,0.039084738134953,"0.059",0.243,"0.60"
"2","cor_seu","EBA","ISA",10000,0,0.8493686974,0.86675710734286,"0.56",0.106837599648036,0.0886971859498636,"0.46",0.175,"0.92"
"3","cti_av","EBA","ISA",10000,0,5.6406590223,6.07928760352121,"0.50",1.44883094893237,2.0265487248393,"0.17",0.223,"0.71"
"4","cti_sd","EBA","ISA",10000,0,0.7274664015,0.96203124472249,"0.41",0.565477969038105,0.82964132288155,"0.37",0.185,"0.89"
"5","elev_av","EBA","ISA",10000,0,428.18449708,435.22642716984,"0.64",31.5821966973665,46.1474894523929,"0.12",0.2405,"0.61"
"6","elev_sd","EBA","ISA",10000,0,0.9871471942,0.91059053840941,"0.72",0.805472439035913,0.633044025129666,"0.52",0.169,"0.94"
"7","slope_av","EBA","ISA",10000,5.47,2.5617758215,2.28606841263979,"0.68",2.19711387862298,1.86901594710393,"0.94",0.205,"0.80"
"8","slope_sd","EBA","ISA",10000,0,0.4184153797,0.4583722910115,"0.75",0.298345904483182,0.346438212522117,"0.68",0.201,"0.82"
"9","soil_cf","EBA","ISA",10000,0,9.6264631269,12.7072543051703,"0.25",5.56701026069896,8.14234891042312,"0.15",0.3395,"0.20"
"10","solar_hr","EBA","ISA",10000,0,11.392450047,11.4038828137792,"0.84",0.113767296358134,0.169351065539051,"0.28",0.339,"0.20"
"11","tpi_av","EBA","ISA",10000,0,-0.9269777663,-0.0779601041481,"0.39",2.5806401475974,3.07875122094498,"0.63",0.204,"0.80"
"12","tpi_sd","EBA","ISA",10000,0,0.3824445039,0.59053784561207,"0.19",0.185729399192294,0.470344202114713,"0.12",0.303,"0.32"
"13","view_md","EBA","ISA",10000,0,0.3897067457,0.38713644587033,"0.98",0.22481670237759,0.222538121576717,"1.00",0.1105,"1.00"
"14","view_seu","EBA","ISA",10000,0,0,0.12601391843348,"0.15",0,0.24568593802959,"0.067",0.236,"0.64"
"15","tri_av","EBA","ISA",10000,0,98.771880335,93.3738954137003,"0.65",31.4406843038519,35.9143185960737,"0.60",0.2295,"0.67"
"16","tri_sd","EBA","ISA",10000,0,3.0626503886,3.5090449833711,"0.59",2.60132154326959,2.42210716488831,"0.97",0.228,"0.68"
"17","view_val","EBA","ISA",10000,0,0.2482197733,0.226420762751312,"0.56",0.12927502900863,0.116200387332889,"0.60",0.232,"0.66"
"18","view_mt","EBA","ISA",10000,0,0.0982704354,0.0962868200197,"0.79",0.0318665841925368,0.0230965180567668,"0.14",0.296,"0.35"
"19","dist_str","EBA","ISA",10000,0,309.138922126,326.850678384178,"0.84",225.420898853099,260.024264551023,"0.64",0.1295,"1.00"
"20","aspect_av","EBA","ISA",10000,0,174.411764805,173.397211481742,"0.96",58.0436978813542,69.0618133486299,"0.46",0.1705,"0.93"
"21","aspect_sd","EBA","ISA",10000,0,12.7929304325,21.1852081970488,"0.16",10.0037931840842,17.9562475376802,"0.25",0.289,"0.38"
"22","view_mnd","EBA","ISA",10000,0,0.3650152548,0.3574085069113,"0.87",0.182480033014834,0.145356502805319,"0.25",0.2025,"0.81"
