"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","EBA","ISA",10000,9.38,0.9151447952,0.9151775022519,"0.99",0.0235362485564816,0.039211905878325,"0.059",0.243,"0.60"
"2","cor_seu","EBA","ISA",10000,0,0.8493686974,0.86706592464596,"0.55",0.106837599648036,0.0886610707004637,"0.46",0.175,"0.92"
"3","cti_av","EBA","ISA",10000,0,5.6406590223,6.06382791871308,"0.51",1.44883094893237,2.01687904116942,"0.19",0.223,"0.71"
"4","cti_sd","EBA","ISA",10000,0,0.7274664015,0.96260550413045,"0.41",0.565477969038105,0.828775388008145,"0.37",0.185,"0.89"
"5","elev_av","EBA","ISA",10000,0,428.18449708,435.165553367918,"0.63",31.5821966973665,46.1987162156217,"0.12",0.2405,"0.61"
"6","elev_sd","EBA","ISA",10000,0,0.9871471942,0.91019373562006,"0.72",0.805472439035913,0.634371130323052,"0.51",0.169,"0.94"
"7","slope_av","EBA","ISA",10000,5.47,2.5617758215,2.28627248985686,"0.68",2.19711387862298,1.86075050384902,"0.94",0.205,"0.80"
"8","slope_sd","EBA","ISA",10000,0,0.4184153797,0.45744319350339,"0.76",0.298345904483182,0.346963895535091,"0.68",0.201,"0.82"
"9","soil_cf","EBA","ISA",10000,0,9.6264631269,12.7039779507015,"0.25",5.56701026069896,8.1568954809121,"0.15",0.3395,"0.20"
"10","solar_hr","EBA","ISA",10000,0,11.392450047,11.4038194288392,"0.84",0.113767296358134,0.169652188529393,"0.28",0.339,"0.20"
"11","tpi_av","EBA","ISA",10000,0,-0.9269777663,-0.06778188664511,"0.39",2.5806401475974,3.07090030309524,"0.64",0.204,"0.80"
"12","tpi_sd","EBA","ISA",10000,0,0.3824445039,0.58994924995425,"0.19",0.185729399192294,0.471697438294714,"0.12",0.303,"0.32"
"13","view_md","EBA","ISA",10000,0,0.3897067457,0.38804032106053,"0.97",0.22481670237759,0.222539075361379,"1.00",0.1105,"1.00"
"14","view_seu","EBA","ISA",10000,0,0,0.12517966107475,"0.16",0,0.246407431192564,"0.065",0.236,"0.64"
"15","tri_av","EBA","ISA",10000,0,98.771880335,93.6294848111695,"0.66",31.4406843038519,35.7866995604125,"0.60",0.2295,"0.67"
"16","tri_sd","EBA","ISA",10000,0,3.0626503886,3.52393980941034,"0.58",2.60132154326959,2.42696943965391,"0.97",0.228,"0.68"
"17","view_val","EBA","ISA",10000,0,0.2482197733,0.22609116751221,"0.55",0.12927502900863,0.116242083290315,"0.59",0.232,"0.66"
"18","view_mt","EBA","ISA",10000,0,0.0982704354,0.0962384537912,"0.79",0.0318665841925368,0.023134477934792,"0.14",0.296,"0.35"
"19","dist_str","EBA","ISA",10000,0,4.3973241568,4.61595993112664,"0.85",3.10849118488934,3.71007041550963,"0.58",0.199,"0.83"
"20","aspect_av","EBA","ISA",10000,0,174.411764805,173.379354527788,"0.96",58.0436978813542,69.4048283125187,"0.45",0.1705,"0.93"
"21","aspect_sd","EBA","ISA",10000,0,12.7929304325,21.3679565028055,"0.16",10.0037931840842,18.0928705473361,"0.25",0.289,"0.38"
