"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","EIA","ISA",10000,12.3,0.904044419576923,0.915131263111008,"0.16",0.0382567837093808,0.0397934518922478,"0.73",0.197038461538462,"0.27"
"2","cor_seu","EIA","ISA",10000,43.4,0.917044270538461,0.86688640181005,"0.0044",0.0787931727236694,0.0898944213020082,"0.33",0.399346153846154,"0.00056"
"3","cti_av","EIA","ISA",10000,44.3,4.58627541253846,6.08085702237122,"2e-04",1.22063198618607,2.05201450646467,"0.007",0.348730769230769,"0.0039"
"4","cti_sd","EIA","ISA",10000,8.59,0.689748307923077,0.960285619120723,"0.11",0.659851790039006,0.863229141736339,"0.29",0.237269230769231,"0.11"
"5","elev_av","EIA","ISA",10000,72.7,402.515188361538,435.247172905011,"2e-04",27.6243773093302,46.7760862601149,"9e-04",0.467269230769231,"2.7e-05"
"6","elev_sd","EIA","ISA",10000,0,1.0584927305,0.910386452956396,"0.26",0.784674083429575,0.65677017215703,"0.35",0.200807692307692,"0.25"
"7","slope_av","EIA","ISA",10000,4.3,2.74032727442308,2.28544472346915,"0.26",2.52157685895937,2.0035737217644,"0.57",0.242846153846154,"0.097"
"8","slope_sd","EIA","ISA",10000,9.57,0.660515728615385,0.456709045468238,"0.0089",0.413794851563646,0.372211035388978,"0.85",0.332846153846154,"0.0068"
"9","soil_cf","EIA","ISA",10000,33.4,8.33639726269231,12.7289982720624,"0.0073",4.91099805178223,8.30909296362548,"0.0043",0.302076923076923,"0.018"
"10","solar_hr","EIA","ISA",10000,8.2,11.4501999711538,11.4040308487092,"0.19",0.12802304491299,0.177090750322253,"0.22",0.252346153846154,"0.076"
"11","tpi_av","EIA","ISA",10000,0,0.402569131615385,-0.07359453288585,"0.47",2.77020934185834,3.29005348889842,"0.53",0.1835,"0.35"
"12","tpi_sd","EIA","ISA",10000,6.45,0.595125586692308,0.589410347200023,"0.95",0.340795207451347,0.500125683083511,"0.23",0.198769230769231,"0.26"
"13","view_md","EIA","ISA",10000,0,0.336593794423077,0.388536506151627,"0.25",0.234112773381457,0.224152422736047,"0.60",0.185346153846154,"0.34"
"14","view_seu","EIA","ISA",10000,0,0.182333153038462,0.124612075067308,"0.29",0.383883281054902,0.266942515468486,"0.12",0.121346153846154,"0.84"
"15","tri_av","EIA","ISA",10000,0,93.0607470026923,93.3171468303193,"0.96",30.87238016382,37.0761037862351,"0.40",0.106423076923077,"0.93"
"16","tri_sd","EIA","ISA",10000,0,3.44559122276923,3.51062691284612,"0.89",2.14546394106827,2.54412340435797,"0.53",0.103653846153846,"0.95"
"17","view_val","EIA","ISA",10000,13.3,0.183984204923077,0.226225452576636,"0.065",0.117829651964386,0.117478703911738,"0.98",0.254961538461538,"0.071"
"18","view_mt","EIA","ISA",10000,17.6,0.0865713121153846,0.09624410060015,"0.035",0.0300192682694201,0.0235261966864877,"0.054",0.224076923076923,"0.15"
"19","dist_str","EIA","ISA",10000,24.8,186.753936474615,326.453856012657,"0.012",124.33779185822,270.274598818086,"0.0054",0.296384615384615,"0.022"
"20","aspect_av","EIA","ISA",10000,13.1,167.665097315,173.284558154069,"0.68",70.3590845426434,70.4404983213738,"0.92",0.213038461538462,"0.19"
"21","aspect_sd","EIA","ISA",10000,0,21.1793956593846,21.2421140206058,"0.99",19.2286521610505,18.9828837740503,"0.94",0.143307692307692,"0.67"
"22","view_mnd","EIA","ISA",10000,16.2,0.299976481615385,0.357260060189523,"0.046",0.158551242635288,0.147748091749677,"0.56",0.233307692307692,"0.12"
