"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","EIA","ISA",10000,14.8,0.904044419576923,0.915051201994396,"0.16",0.0382567837093808,0.0397472939451078,"0.72",0.197038461538462,"0.27"
"2","cor_seu","EIA","ISA",10000,42.2,0.917044270538461,0.866853477710435,"0.0038",0.0787931727236694,0.0900888446177057,"0.32",0.399346153846154,"0.00056"
"3","cti_av","EIA","ISA",10000,43.2,4.58627541253846,6.08032058817887,"4e-04",1.22063198618607,2.05289740324286,"0.0058",0.348730769230769,"0.0039"
"4","cti_sd","EIA","ISA",10000,8.59,0.689748307923077,0.959804618476046,"0.12",0.659851790039006,0.86499880533943,"0.29",0.237269230769231,"0.11"
"5","elev_av","EIA","ISA",10000,70.9,402.515188361538,435.175675188647,"3e-04",27.6243773093302,46.9027128884536,"7e-04",0.467269230769231,"2.7e-05"
"6","elev_sd","EIA","ISA",10000,0,1.0584927305,0.910727029695762,"0.25",0.784674083429575,0.654205864921691,"0.36",0.200807692307692,"0.25"
"7","slope_av","EIA","ISA",10000,4.49,2.74032727442308,2.28565309801188,"0.26",2.52157685895937,1.99277439979929,"0.57",0.242846153846154,"0.097"
"8","slope_sd","EIA","ISA",10000,9.38,0.660515728615385,0.459113591482365,"0.013",0.413794851563646,0.373347957065493,"0.84",0.332846153846154,"0.0068"
"9","soil_cf","EIA","ISA",10000,32.4,8.33639726269231,12.7239298243916,"0.0082",4.91099805178223,8.31944126382064,"0.0044",0.302076923076923,"0.018"
"10","solar_hr","EIA","ISA",10000,8.2,11.4501999711538,11.4045570705824,"0.19",0.12802304491299,0.176532633855585,"0.20",0.252346153846154,"0.076"
"11","tpi_av","EIA","ISA",10000,0,0.402569131615385,-0.0607033214772462,"0.47",2.77020934185834,3.30278245701795,"0.53",0.1835,"0.35"
"12","tpi_sd","EIA","ISA",10000,6.25,0.595125586692308,0.587729439900242,"0.95",0.340795207451347,0.500956008423907,"0.23",0.198769230769231,"0.26"
"13","view_md","EIA","ISA",10000,0,0.336593794423077,0.387184234268396,"0.25",0.234112773381457,0.22408154571412,"0.61",0.185346153846154,"0.34"
"14","view_seu","EIA","ISA",10000,0,0.182333153038462,0.125548697569119,"0.29",0.383883281054902,0.267157224174719,"0.12",0.121346153846154,"0.84"
"15","tri_av","EIA","ISA",10000,0,93.0607470026923,93.4824140696965,"0.96",30.87238016382,37.2993330981437,"0.39",0.106423076923077,"0.93"
"16","tri_sd","EIA","ISA",10000,0,3.44559122276923,3.52052741012438,"0.89",2.14546394106827,2.54945869019474,"0.53",0.103653846153846,"0.95"
"17","view_val","EIA","ISA",10000,12.7,0.183984204923077,0.225872319549465,"0.066",0.117829651964386,0.117528219736085,"0.98",0.254961538461538,"0.071"
"18","view_mt","EIA","ISA",10000,17.8,0.0865713121153846,0.0962634605578423,"0.035",0.0300192682694201,0.0235383743052737,"0.055",0.224076923076923,"0.15"
"19","dist_str","EIA","ISA",10000,25.6,2.77882614734615,4.65932876428359,"0.018",1.9080615365283,3.83658512676735,"0.005",0.307384615384615,"0.016"
"20","aspect_av","EIA","ISA",10000,14.6,167.665097315,173.840503738053,"0.68",70.3590845426434,70.7814905595572,"0.93",0.213038461538462,"0.19"
"21","aspect_sd","EIA","ISA",10000,0,21.1793956593846,21.2847894181713,"0.99",19.2286521610505,18.9672370857547,"0.94",0.143307692307692,"0.67"
