"","Variable","Period","Catchment","Iterations","CI_per","Obs_ave","Exp_ave","Ave_sig","Obs_SD","Exp_SD","SD_sig","KS_D","KS_pval"
"1","cor_dir","RM","ISA",10000,0,0.905118217055556,0.915131451428728,"0.29",0.0361480466220991,0.0396825534401578,"0.53",0.190944444444444,"0.53"
"2","cor_seu","RM","ISA",10000,0,0.897536492888889,0.866831280183544,"0.15",0.0676958594606509,0.0898185442304476,"0.11",0.249277777777778,"0.22"
"3","cti_av","RM","ISA",10000,31.6,4.94498504533333,6.08035718499064,"0.02",1.15743460023469,2.04162275517811,"0.016",0.367444444444444,"0.016"
"4","cti_sd","RM","ISA",10000,8.79,0.773571495388889,0.960925822001806,"0.37",0.652983622701372,0.850775842685238,"0.38",0.236777777777778,"0.27"
"5","elev_av","RM","ISA",10000,42.2,417.447386,435.219251951921,"0.11",25.4572166565774,46.6245284421585,"0.0018",0.288444444444444,"0.10"
"6","elev_sd","RM","ISA",10000,0,0.698181717777778,0.907349614993828,"0.18",0.334171349914932,0.647962564281371,"0.028",0.195833333333333,"0.50"
"7","slope_av","RM","ISA",10000,0,1.69793308783333,2.27939486006783,"0.22",0.887740145630416,1.96168963627686,"0.098",0.198888888888889,"0.48"
"8","slope_sd","RM","ISA",10000,0,0.468706722944444,0.456007779161328,"0.90",0.35640326924699,0.365192588584894,"0.84",0.152,"0.80"
"9","soil_cf","RM","ISA",10000,19.3,8.32973612633333,12.7515029372893,"0.026",3.52557760829935,8.25170796228838,"0.0015",0.295,"0.09"
"10","solar_hr","RM","ISA",10000,22.3,11.458577845,11.4037617005184,"0.19",0.0745190576413016,0.173820970127014,"0.039",0.288833333333333,"0.10"
"11","tpi_av","RM","ISA",10000,1.17,-0.0588540621111111,-0.0553541128322278,"0.99",1.06736728341932,3.25605404325703,"0.043",0.204833333333333,"0.44"
"12","tpi_sd","RM","ISA",10000,0,0.439628222833333,0.587933112503311,"0.22",0.226377807686985,0.491226237276794,"0.085",0.217444444444444,"0.37"
"13","view_md","RM","ISA",10000,14.8,0.501063725666667,0.387491726584067,"0.03",0.166398203725086,0.223690199923558,"0.017",0.295888888888889,"0.088"
"14","view_seu","RM","ISA",10000,0,0.123453443277778,0.125280716012894,"0.99",0.323124182060929,0.261107079864756,"0.56",0.0786111111111112,"1.00"
"15","tri_av","RM","ISA",10000,0,84.1867887716667,93.3813635187209,"0.30",19.3235169373457,36.7412085994111,"0.062",0.198444444444444,"0.48"
"16","tri_sd","RM","ISA",10000,6.64,2.93585387205556,3.51337148224604,"0.35",1.63300854735432,2.51901520783637,"0.24",0.224333333333333,"0.33"
"17","view_val","RM","ISA",10000,0,0.256760590611111,0.226048703872596,"0.27",0.103537939715248,0.116998536446854,"0.33",0.247444444444444,"0.22"
"18","view_mt","RM","ISA",10000,42,0.107561954222222,0.0962797390639056,"0.04",0.0224182969030954,0.0234514580846025,"0.74",0.364222222222222,"0.018"
"19","dist_str","RM","ISA",10000,25.8,164.307406527222,326.336841925288,"0.013",99.5151135636893,267.157375764673,"0.0047",0.355833333333333,"0.022"
"20","aspect_av","RM","ISA",10000,2.73,164.546186844444,173.324588932207,"0.61",51.769155300165,70.2536416875168,"0.12",0.163,"0.73"
"21","aspect_sd","RM","ISA",10000,0,21.6074612857778,21.2984517673951,"0.93",16.4344948547831,18.7322837647729,"0.60",0.112444444444444,"0.98"
"22","view_mnd","RM","ISA",10000,0,0.399177893222222,0.357317954009067,"0.23",0.126327079664409,0.147386974837583,"0.26",0.214111111111111,"0.39"
